4 | 0 | 1 | native | native | 22122 | 10242
4 | 1 | 1 | native | native | 12561 | 7828
4 | 0 | 1 | native | tremont | 22099 | 10242
4 | 1 | 1 | native | tremont | 12402 | 7824
4 | 0 | 1 | native | alderlake | 22176 | 10247
4 | 1 | 1 | native | alderlake | 12758 | 7807
4 | 0 | 1 | native | znver4 | 22475 | 10286
4 | 1 | 1 | native | znver4 | 12975 | 7788
4 | 0 | 1 | tremont | native | 22267 | 10239
4 | 1 | 1 | tremont | native | 12626 | 7824
4 | 0 | 1 | tremont | tremont | 22252 | 10236
4 | 1 | 1 | tremont | tremont | 12723 | 7824
4 | 0 | 1 | tremont | alderlake | 22308 | 10236
4 | 1 | 1 | tremont | alderlake | 12413 | 7825
4 | 0 | 1 | tremont | znver4 | 22392 | 10283
4 | 1 | 1 | tremont | znver4 | 12540 | 7792
4 | 0 | 1 | alderlake | native | 22263 | 10270
4 | 1 | 1 | alderlake | native | 12583 | 7854
4 | 0 | 1 | alderlake | tremont | 22326 | 10274
4 | 1 | 1 | alderlake | tremont | 12717 | 7860
4 | 0 | 1 | alderlake | alderlake | 22345 | 10276
4 | 1 | 1 | alderlake | alderlake | 12527 | 7861
4 | 0 | 1 | alderlake | znver4 | 22529 | 10246
4 | 1 | 1 | alderlake | znver4 | 12555 | 7771
4 | 0 | 2 | native | native | 22799 | 10609
4 | 1 | 2 | native | native | 12865 | 8088
4 | 0 | 2 | native | tremont | 22073 | 10524
4 | 1 | 2 | native | tremont | 12770 | 8099
4 | 0 | 2 | native | alderlake | 22026 | 10535
4 | 1 | 2 | native | alderlake | 12928 | 8091
4 | 0 | 2 | native | znver4 | 22459 | 10536
4 | 1 | 2 | native | znver4 | 13074 | 8021
4 | 0 | 2 | tremont | native | 22461 | 10533
4 | 1 | 2 | tremont | native | 12755 | 8099
4 | 0 | 2 | tremont | tremont | 22471 | 10538
4 | 1 | 2 | tremont | tremont | 12651 | 8077
4 | 0 | 2 | tremont | alderlake | 22459 | 10540
4 | 1 | 2 | tremont | alderlake | 12912 | 8093
4 | 0 | 2 | tremont | znver4 | 22349 | 10566
4 | 1 | 2 | tremont | znver4 | 12617 | 8019
4 | 0 | 2 | alderlake | native | 22407 | 10544
4 | 1 | 2 | alderlake | native | 12891 | 8071
4 | 0 | 2 | alderlake | tremont | 22377 | 10549
4 | 1 | 2 | alderlake | tremont | 13057 | 8079
4 | 0 | 2 | alderlake | alderlake | 22396 | 10540
4 | 1 | 2 | alderlake | alderlake | 12739 | 8086
4 | 0 | 2 | alderlake | znver4 | 22578 | 10576
4 | 1 | 2 | alderlake | znver4 | 12633 | 8028
4 | 0 | 3 | native | native | 22196 | 10503
4 | 1 | 3 | native | native | 12692 | 8027
4 | 0 | 3 | native | tremont | 22316 | 10402
4 | 1 | 3 | native | tremont | 12717 | 8026
4 | 0 | 3 | native | alderlake | 22279 | 10398
4 | 1 | 3 | native | alderlake | 12839 | 8010
4 | 0 | 3 | native | znver4 | 22333 | 10505
4 | 1 | 3 | native | znver4 | 12153 | 7965
4 | 0 | 3 | tremont | native | 22267 | 10436
4 | 1 | 3 | tremont | native | 12625 | 8028
4 | 0 | 3 | tremont | tremont | 22215 | 10441
4 | 1 | 3 | tremont | tremont | 12835 | 8019
4 | 0 | 3 | tremont | alderlake | 22253 | 10440
4 | 1 | 3 | tremont | alderlake | 12682 | 8031
4 | 0 | 3 | tremont | znver4 | 22245 | 10521
4 | 1 | 3 | tremont | znver4 | 12619 | 7955
4 | 0 | 3 | alderlake | native | 21764 | 10422
4 | 1 | 3 | alderlake | native | 12576 | 8027
4 | 0 | 3 | alderlake | tremont | 21950 | 10414
4 | 1 | 3 | alderlake | tremont | 12636 | 8004
4 | 0 | 3 | alderlake | alderlake | 21796 | 10410
4 | 1 | 3 | alderlake | alderlake | 12583 | 8011
4 | 0 | 3 | alderlake | znver4 | 21857 | 10461
4 | 1 | 3 | alderlake | znver4 | 12520 | 7984
